Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Humidity (%),Pressure (Pa),Temperature (C)
1681945404.8007555,37.875355,-122.259026,0,0,0,0
1681945410.1865132,37.87534,-122.258984,0,0,0,0
1681945415.575662,37.87533,-122.258969,0,0,0,0
1681945420.9940796,37.875328,-122.258965,0,0,0,0
1681945426.407881,37.875325,-122.258963,0,0,0,0
1681945431.8597476,37.875325,-122.258963,0,0,0,0
1681945437.3325708,37.875326,-122.258958,0,0,0,0
1681945442.7989411,37.875326,-122.258961,0,0,0,0
1681945448.3074214,37.875328,-122.258966,0,0,0,0
1681945453.8059106,37.87533,-122.258969,0,0,0,0
1681945459.321232,37.875331,-122.258969,0,0,0,0
1681945464.8575032,37.87533,-122.258966,0,0,0,0
1681945470.4498067,37.875323,-122.258944,0,0,0,0
1681945476.012403,37.875328,-122.258934,0,0,0,0
1681945481.5454495,37.875313,-122.258946,0,0,0,0
1681945487.13616,37.875308,-122.258948,0,0,0,0
1681945492.7080665,37.875306,-122.258955,0,0,0,0
1681945498.3114946,37.875308,-122.258959,0,0,0,0
1681945503.968436,37.875313,-122.258958,0,0,0,0
1681945509.6575751,37.875318,-122.258951,0,0,0,0
1681945515.3532171,37.87533,-122.258936,0,0,0,0
1681945521.0271103,37.875333,-122.258933,0,0,0,0
1681945526.7041743,37.87533,-122.258933,0,0,0,0
1681945532.390646,37.875331,-122.258941,0,0,0,0
1681945538.1200008,37.87533,-122.258946,0,0,0,0
1681945543.7928588,37.875326,-122.258944,0,0,0,0
1681945549.5163028,37.875325,-122.258944,0,0,0,0
1681945555.3894818,37.875344,-122.258906,0,0,0,0
1681945561.2081628,37.87537,-122.258871,0,0,0,0
1681945566.9607568,37.875376,-122.258856,0,0,0,0
1681945572.764482,37.875381,-122.258851,0,0,0,0
1681945578.602769,37.875385,-122.258846,0,0,0,0
1681945584.4775538,37.875388,-122.258846,0,0,0,0
1681945590.3590617,37.875396,-122.258838,0,0,0,0
1681945596.2406883,37.875393,-122.258833,0,0,0,0
1681945602.1081758,37.87539,-122.258831,0,0,0,0
1681945607.987049,37.87539,-122.258831,0,0,0,0
1681945613.880897,37.875391,-122.258828,0,0,0,0
1681945619.762503,37.875394,-122.25883,0,0,0,0
1681945625.7134354,37.875406,-122.258836,0,0,0,0
1681945631.6602206,37.87541,-122.258833,0,0,0,0
1681945637.662987,37.875415,-122.258833,0,0,0,0
1681945643.7048926,37.875421,-122.258843,0,0,0,0
1681945649.6636543,37.875415,-122.258878,0,0,0,0
1681945655.7070005,37.875376,-122.25888,0,0,0,0
1681945661.7686088,37.875375,-122.258876,0,0,0,0
1681945667.8062046,37.875375,-122.25888,0,0,0,0
1681945673.8037217,37.875375,-122.25889,0,0,0,0
1681945680.0482922,37.875373,-122.258888,0,0,0,0
1681945686.1734736,37.875373,-122.258875,0,0,0,0
1681945692.2388785,37.875371,-122.258866,0,0,0,0
1681945698.3360815,37.87537,-122.258856,0,0,0,0
1681945704.4676492,37.875371,-122.258853,0,0,0,0
1681945710.6127498,37.875375,-122.258851,0,0,0,0
1681945716.7633042,37.875373,-122.258856,0,0,0,0
1681945722.8955474,37.875366,-122.25885,0,0,0,0
1681945729.0697997,37.875363,-122.25885,0,0,0,0
1681945735.2384949,37.87536,-122.258855,0,0,0,0
1681945741.4441564,37.87535,-122.258863,0,0,0,0
1681945747.6313221,37.875351,-122.258873,0,0,0,0
1681945753.8593464,37.875356,-122.258886,0,0,0,0
1681945760.1220562,37.875366,-122.258906,0,0,0,0
1681945766.5440164,37.875373,-122.25895,0,0,0,0
1681945772.8518333,37.875379,-122.258971,0,0,0,0
1681945779.1679869,37.875368,-122.259023,0,0,0,0
1681945785.4226522,37.875371,-122.259095,0,0,0,0
1681945791.7677338,37.875376,-122.259135,0,0,0,0
1681945798.074353,37.875353,-122.25914,0,0,0,0
1681945804.4175951,37.875335,-122.259101,0,0,0,0
1681945810.7854931,37.875328,-122.259095,0,0,0,0
1681945817.1565676,37.87532,-122.25898,0,0,0,0
1681945823.539634,37.875311,-122.258961,0,0,0,0
1681945829.9327357,37.875291,-122.258913,0,0,0,0
1681945836.5707967,37.875293,-122.258881,0,0,0,0
1681945843.0251293,37.875296,-122.258868,0,0,0,0
1681945849.4541953,37.875301,-122.258866,0,0,0,0
1681945855.9139233,37.875303,-122.258865,0,0,0,0
1681945862.4185395,37.875286,-122.258851,0,0,0,0
1681945868.9073184,37.875271,-122.258846,0,0,0,0
1681945875.4614527,37.875261,-122.258838,0,0,0,0
1681945882.1162503,37.875278,-122.25889,0,0,0,0
1681945888.6040113,37.87528,-122.258893,0,0,0,0
1681945895.3557181,37.875301,-122.258873,0,0,0,0
1681945901.888931,37.875361,-122.258906,0,0,0,0
1681945908.4242682,37.875361,-122.258955,0,0,0,0
1681945915.0455883,37.875358,-122.258961,0,0,0,0
1681945921.6194386,37.875353,-122.258956,0,0,0,0
1681945928.2419944,37.875346,-122.258958,0,0,0,0
1681945934.8493397,37.875343,-122.258958,0,0,0,0
1681945941.5763998,37.875338,-122.258955,0,0,0,0
1681945948.192551,37.875338,-122.258959,0,0,0,0
1681945954.995671,37.875336,-122.258973,0,0,0,0
1681945961.700315,37.875351,-122.259001,0,0,0,0
1681945968.4435306,37.875355,-122.259003,0,0,0,0
1681945975.2113588,37.875355,-122.25901,0,0,0,0
1681945981.9574268,37.875363,-122.259019,0,0,0,0
1681945988.6801085,37.875375,-122.259023,0,0,0,0
1681945995.4987333,37.875378,-122.259028,0,0,0,0
1681946002.325575,37.875379,-122.259054,0,0,0,0
1681946009.2676368,37.875383,-122.259065,0,0,0,0
1681946016.028195,37.875393,-122.259081,0,0,0,0
1681946022.9036849,37.8754,-122.259086,0,0,0,0
1681946029.7324514,37.87541,-122.259081,0,0,0,0
1681946036.5547376,37.875408,-122.259045,0,0,0,0
1681946043.4274602,37.875405,-122.25899,0,0,0,0
1681946050.2673616,37.875405,-122.258976,0,0,0,0
1681946057.1507444,37.87541,-122.258961,0,0,0,0
1681946064.277778,37.875413,-122.258948,0,0,0,0
1681946071.172856,37.875418,-122.258938,0,0,0,0
1681946078.131452,37.875421,-122.258936,0,0,0,0
1681946085.0120757,37.875426,-122.25893,0,0,0,0
1681946091.9269621,37.875428,-122.258908,0,0,0,0
1681946098.8511837,37.875421,-122.258895,0,0,0,0
1681946105.8116395,37.875411,-122.258895,0,0,0,0
1681946113.153783,37.8754,-122.258884,0,0,0,0
1681946120.1285293,37.875396,-122.258875,0,0,0,0
1681946127.2007399,37.875396,-122.258875,0,0,0,0
1681946134.23626,37.875396,-122.258866,0,0,0,0
1681946141.260765,37.875393,-122.258861,0,0,0,0
1681946148.393754,37.875391,-122.258853,0,0,0,0
1681946155.4366055,37.875386,-122.258851,0,0,0,0
1681946162.727286,37.875385,-122.258843,0,0,0,0
1681946169.9733794,37.875383,-122.258846,0,0,0,0
1681946177.108007,37.875383,-122.258845,0,0,0,0
1681946184.2147377,37.87539,-122.25883,0,0,0,0
1681946191.4187875,37.87539,-122.258828,0,0,0,0
1681946198.5499809,37.875391,-122.258825,0,0,0,0
1681946205.9481974,37.875386,-122.258823,0,0,0,0
